ideology_estimate,id_str,timestamp,retweeted_status.id_str,user.id_str,user.screen_name,user.location,user.description,coordinates.coordinates.0,coordinates.coordinates.1,text,AffectCount,MoralWordsCount,negCount,posCount,AffectRatio,MoralWordsRatio,negRatio,posRatio
-1.109,6.07E+17,6/4/2015 22:27,6.07E+17,383359057,_xNiallsSmile,Egypt/Italy,"Do what makes you happy, half the people around you don't care about you.       IG: darkeyes1_",NA,NA,religion 💓💕 💓,0,0,0,0,0.0,0.0,0.0,0.0
-1.504,6.07E+17,6/4/2015 22:27,6.07E+17,2409918259,dearcollectress,superhero lair,Writer. Blogger. Fangirl. Gisher. Shipper. Cosplayer. Will not shut up about issues that matter. #equality #MutinyInTheImpala Admin for @nerdwrldprblms,NA,NA,religion religion religion,0,3,0,0,0.0,1.0,0.0,0.0
0.582,6.07E+17,6/4/2015 22:27,NA,778237254,theotten,,None,NA,NA,sad,1,0,1,0,1.0,0.0,1.0,0.0
-0.945,6.07E+17,6/4/2015 22:27,6.07E+17,805320822,HomEnergyAdvice,Work Everywhere-Live in Dorset,Finding the Best in Energy Efficiency RTweets From Guys with Knowledge . Love Renewables ☀️ Hate Fracking ⚡ email : homeenergyadvice@gmail.com,NA,NA,sad sad,2,0,2,0,1.0,0.0,1.0,0.0
-0.212,6.07E+17,6/4/2015 22:27,5.80E+17,290720646,VicPopuli,Libertopia,Nothing is sacred. Nobody is safe. Everything must go. Knowledge is free; it is the most valuable weapon a free people can have in the war against authority,NA,NA,religion sad,1,1,1,0,0.5,0.5,0.5,0.0
-1.281,6.07E+17,6/4/2015 22:27,6.07E+17,18086368,philipsturner,New York City,"Blogger at http://t.co/SVhxrlvUr9 & editor at Philip Turner Book Productions, http://t.co/kzMumMZpMJ. Urban enthusiast; live music fan; http://t.co/vLHPjYwH3M",NA,NA,religion test sad,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
-0.912,6.07E+17,6/4/2015 22:28,6.07E+17,23732681,dsmpowered,"from Cleveland, in Oakland",i have absolutely no desire to make it to a benz outta my datsun,NA,NA,"RT @EricBoehlert: Voting is bad, climate change isn't real, don't raise the minimum wage, stop gays from marrying....This is one of great G…",2,1,0,1,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464
-0.719,6.07E+17,6/4/2015 22:28,6.07E+17,305406699,bigpapaglims,"Naperville , il","Internet Marketing Specialist for @beltoutlet and @goinstylestore, #ecommerce nerd, tech geek, beer lover, wine snob",NA,NA,RT @MarkRuffalo: @SamuelLJackson Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-0.945,6.07E+17,6/4/2015 22:28,5.79E+17,20569066,sixde6rees,"Queensland, mostly Brisbane","Climate action campaign of @FoEBris that takes #ClimateChange personally, working on #coal & #CSG in #Queensland.",NA,NA,RT @SCAA3230: The hypocrisy that sees multiple inquiries into clean wind energy while dirty coal gets off scot free is astonishing! http://…,2,2,0,3,0.08695652173913043,0.08695652173913043,0.0,0.13043478260869565
-0.234,6.07E+17,6/4/2015 22:28,6.07E+17,79526371,morethanannie,London,"Traveler in time and space, runner, expatriate, baker, eater. Lover of literature, philosophy and the arts. Dabbler in blogging, writing, singing, journalism...",NA,NA,RT @MarkRuffalo: We can't afford a compromise on #climate at the #G7. Join the global call for 100% Clean Energy by 2050. Sign &amp; RT! http:/…,1,1,0,1,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571
-1.364,6.07E+17,6/4/2015 22:28,NA,172081908,Jackthelad1947,Mandurah Western Australia ,Live simply so others can simply live. Climate change is a global emergency. Carbon pollution kills. Polluters should pay. Refugees need our support.,NA,NA,How Your Taxes Help Inflate The Value Of Coastal Properties Threatened By Climate Change http://t.co/VSgwjhD3fk #Auspol #WApol #Qldpol,2,2,1,1,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616
-0.895,6.07E+17,6/4/2015 22:28,6.07E+17,1644503058,Morriganthe13,EARTH ,I'm partial to me&my dog. #DEMENTEDSLASHER #VOLATILE  Don't like it don't follow.  It's Twitter not MatchdotCom. Old GnR Lineup #AntiOppression #CutTheShit #RnR,NA,NA,RT @MarkRuffalo: @Renner4Real Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.119,6.07E+17,6/4/2015 22:28,6.07E+17,618314024,cgallagher2013,,None,NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-0.866,6.07E+17,6/4/2015 22:29,NA,39775054,itsforhome,Boulder CO,Smart Home Resource and Marketplace - Smart Grid - Demand Response,NA,NA,#CleanEnergy: Africa's Leaders Must Take 'Decisive Action' to Generate Clean Energy Kofi Annan ... http://t.co/d2wLLZylTj,1,3,0,1,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842
-1.166,6.07E+17,6/4/2015 22:29,6.07E+17,111672312,candypie22,Asgard,Professional Fangirl,NA,NA,RT @MarkRuffalo: @chrishemsworth Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.302,6.07E+17,6/4/2015 22:29,5.79E+17,26891847,jarren,"Brisbane, Australia",Graphic Designer @DesignGood_DS / #Climate Leader @ClimateRealityA / Fmr Digital Campaigner @Market_Forces / Fmr #Brisbane Activist Coordinator @GreenpeaceAustP,NA,NA,RT @SCAA3230: The hypocrisy that sees multiple inquiries into clean wind energy while dirty coal gets off scot free is astonishing! http://…,2,2,0,3,0.08695652173913043,0.08695652173913043,0.0,0.13043478260869565
-1.166,6.07E+17,6/4/2015 22:29,6.07E+17,111672312,candypie22,Asgard,Professional Fangirl,NA,NA,RT @MarkRuffalo: @SamuelLJackson Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.166,6.07E+17,6/4/2015 22:29,6.07E+17,111672312,candypie22,Asgard,Professional Fangirl,NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.063,6.07E+17,6/4/2015 22:29,6.07E+17,331190665,CauMore,,Jonas / BTR / Demi / Zac / Coldplay / Harry / Marvel / Beatles / Percy / Violetta / Legião / Jogos Vorazes / Switchfoot / R5,NA,NA,RT @MarkRuffalo: @Renner4Real Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.187,6.07E+17,6/4/2015 22:29,6.07E+17,21246218,GinaAlanaLane,"Manchester, England","Married to @wlane17 ❤️ A tea addicted nerd with a penchant for books! Owner of Mr Tibbs  I read, I review, I blog..I am not cool!⚯͛ △⃒⃘",NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.063,6.07E+17,6/4/2015 22:29,6.07E+17,331190665,CauMore,,Jonas / BTR / Demi / Zac / Coldplay / Harry / Marvel / Beatles / Percy / Violetta / Legião / Jogos Vorazes / Switchfoot / R5,NA,NA,RT @MarkRuffalo: @Paul_Bettany Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt2…,1,1,0,1,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216
0.109,6.07E+17,6/4/2015 22:29,6.07E+17,468929776,hemsworth04,Puerto Rico,Supernatural freak! Avengers! Bren Foster! Tommy Torres! Clarinete! Biologia! #UIPR,NA,NA,RT @MarkRuffalo: @Renner4Real Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.593,6.07E+17,6/4/2015 22:29,6.07E+17,39760366,AnnieWT,Burbs outside Philly,"Once I'm in I own your Heart ♬ Reality is a Dream that Stood The Test of Time!  ADAM LAMBERT, BARBRA STREISAND & STEVE PERRY are my obsession!",NA,NA,RT @MarkRuffalo: We can't afford a compromise on #climate at the #G7. Join the global call for 100% Clean Energy by 2050. Sign &amp; RT! http:/…,1,1,0,1,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571
0.109,6.07E+17,6/4/2015 22:29,6.07E+17,468929776,hemsworth04,Puerto Rico,Supernatural freak! Avengers! Bren Foster! Tommy Torres! Clarinete! Biologia! #UIPR,NA,NA,RT @MarkRuffalo: @chrishemsworth Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.19,6.07E+17,6/4/2015 22:30,6.07E+17,1892979913,HOSKINMANDY22,,Reader; crafter; community minded; compassionate human being who cares about social justice for all. RT's not always endorsement.,NA,NA,RT @ChristineMilne: Australia is a free rider on climate change says Kofi Annan and he's right. Aust answers in Bonn #UNFCCC pathetic and m…,2,1,1,2,0.08,0.04,0.04,0.08
-0.686,6.07E+17,6/4/2015 22:30,NA,577176707,Shell_NatGas,"The Hague, NL",The official Twitter handle for news and updates about natural gas from Royal Dutch Shell.,NA,NA,"Shell VP Global LNG Roger Bounds on the need for clean, reliable energy to fuel growing cities in Asia #WGCParis2015 http://t.co/V3fJUS7UXw",1,1,0,1,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664
-1.063,6.07E+17,6/4/2015 22:30,6.07E+17,331190665,CauMore,,Jonas / BTR / Demi / Zac / Coldplay / Harry / Marvel / Beatles / Percy / Violetta / Legião / Jogos Vorazes / Switchfoot / R5,NA,NA,RT @MarkRuffalo: @chrishemsworth Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.063,6.07E+17,6/4/2015 22:30,6.07E+17,331190665,CauMore,,Jonas / BTR / Demi / Zac / Coldplay / Harry / Marvel / Beatles / Percy / Violetta / Legião / Jogos Vorazes / Switchfoot / R5,NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
